,date,data
0,1960-01-01,0.71
1,1960-04-01,0.63
2,1960-07-02,0.85
3,1960-10-01,0.44
4,1961-01-01,0.61
5,1961-04-02,0.69
6,1961-07-02,0.92
7,1961-10-01,0.55
8,1962-01-01,0.72
9,1962-04-02,0.77
10,1962-07-02,0.92
11,1962-10-01,0.6
12,1963-01-01,0.83
13,1963-04-02,0.8
14,1963-07-02,1.0
15,1963-10-01,0.77
16,1964-01-01,0.92
17,1964-04-01,1.0
18,1964-07-02,1.24
19,1964-10-01,1.0
20,1965-01-01,1.16
21,1965-04-02,1.3
22,1965-07-02,1.45
23,1965-10-01,1.25
24,1966-01-01,1.26
25,1966-04-02,1.38
26,1966-07-02,1.86
27,1966-10-01,1.56
28,1967-01-01,1.53
29,1967-04-02,1.59
30,1967-07-02,1.83
31,1967-10-01,1.86
32,1968-01-01,1.53
33,1968-04-01,2.07
34,1968-07-02,2.34
35,1968-10-01,2.25
36,1969-01-01,2.16
37,1969-04-02,2.43
38,1969-07-02,2.7
39,1969-10-01,2.25
40,1970-01-01,2.79
41,1970-04-02,3.42
42,1970-07-02,3.69
43,1970-10-01,3.6
44,1971-01-01,3.6
45,1971-04-02,4.32
46,1971-07-02,4.32
47,1971-10-01,4.05
48,1972-01-01,4.86
49,1972-04-01,5.04
50,1972-07-02,5.04
51,1972-10-01,4.41
52,1973-01-01,5.58
53,1973-04-02,5.85
54,1973-07-02,6.57
55,1973-10-01,5.31
56,1974-01-01,6.03
57,1974-04-02,6.39
58,1974-07-02,6.93
59,1974-10-01,5.85
60,1975-01-01,6.93
61,1975-04-02,7.74
62,1975-07-02,7.83
63,1975-10-01,6.12
64,1976-01-01,7.74
65,1976-04-01,8.91
66,1976-07-02,8.28
67,1976-10-01,6.84
68,1977-01-01,9.54
69,1977-04-02,10.26
70,1977-07-02,9.54
71,1977-10-01,8.729999
72,1978-01-01,11.88
73,1978-04-02,12.06
74,1978-07-02,12.15
75,1978-10-01,8.91
76,1979-01-01,14.04
77,1979-04-02,12.96
78,1979-07-02,14.85
79,1979-10-01,9.99
80,1980-01-01,16.2
81,1980-04-01,14.67
82,1980-07-02,16.02
83,1980-10-01,11.61
